      t         y1        y2      check
   6.30000  -0.91779   0.18328   0.87594
   6.35000  -0.90863   0.32669   0.93233
   6.40000  -0.89230   0.46866   1.01583
   6.45000  -0.86886   0.60808   1.12469
   6.50000  -0.83846   0.74384   1.25631
   6.55000  -0.80127   0.87485   1.40739
   6.60000  -0.75752   1.00005   1.57394
   6.65000  -0.70752   1.11841   1.75143
   6.70000  -0.65160   1.22896   1.93493
   6.75000  -0.59015   1.33077   2.11924
   6.80000  -0.52361   1.42299   2.29906
   6.85000  -0.45246   1.50480   2.46915
   6.90000  -0.37722   1.57550   2.62449
   6.95000  -0.29845   1.63444   2.76046
   7.00000  -0.21673   1.68107   2.87297
   7.05000  -0.13267   1.71494   2.95861
   7.10000  -0.04693   1.73567   3.01474
   7.15000   0.03986   1.74300   3.03963
   7.20000   0.12701   1.73677   3.03250
   7.25000   0.21385   1.71693   2.99356
   7.30000   0.29969   1.68351   2.92403
   7.35000   0.38387   1.63669   2.82609
   7.40000   0.46570   1.57671   2.70288
   7.45000   0.54454   1.50394   2.55836
   7.50000   0.61973   1.41886   2.39722
   7.55000   0.69068   1.32202   2.22478
   7.60000   0.75678   1.21411   2.04676
   7.65000   0.81748   1.09586   1.86918
   7.70000   0.87228   0.96813   1.69813
   7.75000   0.92068   0.83183   1.53960
   7.80000   0.96227   0.68798   1.39928
   7.85000   0.99667   0.53762   1.28239
   7.90000   1.02355   0.38189   1.19350
   7.95000   1.04265   0.22196   1.13638
   8.00000   1.05375   0.05905   1.11387
   8.05000   1.05670  -0.10560   1.12776
   8.10000   1.05142  -0.27071   1.17877
   8.15000   1.03788  -0.43499   1.26642
   8.20000   1.01613  -0.59716   1.38913
   8.25000   0.98628  -0.75593   1.54418
   8.30000   0.94848  -0.91004   1.72778
   8.35000   0.90298  -1.05824   1.93524
   8.40000   0.85006  -1.19933   2.16100
   8.45000   0.79010  -1.33215   2.39888
   8.50000   0.72349  -1.45560   2.64222
   8.55000   0.65071  -1.56865   2.88409
   8.60000   0.57228  -1.67032   3.11748
   8.65000   0.48876  -1.75974   3.33558
   8.70000   0.40077  -1.83611   3.53193
   8.75000   0.30897  -1.89873   3.70065
   8.80000   0.21403  -1.94701   3.83665
   8.85000   0.11668  -1.98045   3.93580
   8.90000   0.01766  -1.99868   3.99505
   8.95000  -0.08227  -2.00144   4.01254
   9.00000  -0.18235  -1.98859   3.98773
   9.05000  -0.28178  -1.96010   3.92137
   9.10000  -0.37978  -1.91607   3.81555
   9.15000  -0.47558  -1.85673   3.67362
   9.20000  -0.56842  -1.78242   3.50011
   9.25000  -0.65754  -1.69360   3.30065
   9.30000  -0.74222  -1.59086   3.08173
   9.35000  -0.82176  -1.47489   2.85059
   9.40000  -0.89551  -1.34649   2.61497
   9.45000  -0.96283  -1.20656   2.38285
   9.50000  -1.02316  -1.05612   2.16225
   9.55000  -1.07597  -0.89625   1.96098
   9.60000  -1.12078  -0.72813   1.78633
   9.65000  -1.15719  -0.55301   1.64490
   9.70000  -1.18484  -0.37220   1.54237
   9.75000  -1.20345  -0.18707   1.48328
   9.80000  -1.21280   0.00097   1.47089
   9.85000  -1.21275   0.19047   1.50705
   9.90000  -1.20323   0.37996   1.59213
   9.95000  -1.18423   0.56797   1.72499
  10.00000  -1.15583   0.75300   1.90296
  10.05000  -1.11818   0.93360   2.12194
  10.10000  -1.07150   1.10832   2.37648
  10.15000  -1.01609   1.27574   2.65994
  10.20000  -0.95230   1.43450   2.96467
  10.25000  -0.88057   1.58330   3.28225
  10.30000  -0.80141   1.72089   3.60372
  10.35000  -0.71537   1.84611   3.91987
  10.40000  -0.62306   1.95789   4.22152
  10.45000  -0.52517   2.05524   4.49980
  10.50000  -0.42240   2.13730   4.74646
  10.55000  -0.31554   2.20330   4.95408
  10.60000  -0.20537   2.25260   5.11638
  10.65000  -0.09274   2.28469   5.22840
  10.70000   0.02149   2.29918   5.28669
  10.75000   0.13645   2.29582   5.28942
  10.80000   0.25124   2.27450   5.23648
  10.85000   0.36497   2.23525   5.12952
  10.90000   0.47673   2.17822   4.97191
  10.95000   0.58564   2.10373   4.76866
  11.00000   0.69083   2.01222   4.52629
  11.05000   0.79144   1.90428   4.25267
  11.10000   0.88665   1.78062   3.95676
  11.15000   0.97568   1.64208   3.64839
  11.20000   1.05779   1.48963   3.33791
  11.25000   1.13227   1.32435   3.03594
  11.30000   1.19849   1.14744   2.75298
  11.35000   1.25586   0.96017   2.49911
  11.40000   1.30387   0.76394   2.28368
  11.45000   1.34206   0.56022   2.11497
  11.50000   1.37007   0.35052   1.99997
  11.55000   1.38760   0.13644   1.94405
  11.60000   1.39442  -0.08037   1.95087
  11.65000   1.39040  -0.29825   2.02217
  11.70000   1.37549  -0.51550   2.15771
  11.75000   1.34972  -0.73042   2.35524
  11.80000   1.31320  -0.94131   2.61055
  11.85000   1.26613  -1.14650   2.91754
  11.90000   1.20880  -1.34433   3.26843
  11.95000   1.14159  -1.53321   3.65395
  12.00000   1.06493  -1.71158   4.06358
  12.05000   0.97935  -1.87797   4.48591
  12.10000   0.88545  -2.03100   4.90897
  12.15000   0.78390  -2.16935   5.32058
  12.20000   0.67543  -2.29183   5.70871
  12.25000   0.56084  -2.39737   6.06193
  12.30000   0.44097  -2.48500   6.36969
  12.35000   0.31672  -2.55390   6.62274
  12.40000   0.18903  -2.60339   6.81338
  12.45000   0.05886  -2.63293   6.93577
  12.50000  -0.07279  -2.64212   6.98612
  12.55000  -0.20489  -2.63075   6.96283
  12.60000  -0.33643  -2.59874   6.86661
  12.65000  -0.46637  -2.54617   6.70047
  12.70000  -0.59368  -2.47330   6.46966
  12.75000  -0.71734  -2.38054   6.18153
  12.80000  -0.83637  -2.26845   5.84539
  12.85000  -0.94979  -2.13777   5.47216
  12.90000  -1.05668  -1.98936   5.07414
  12.95000  -1.15615  -1.82426   4.66459
  13.00000  -1.24736  -1.64361   4.25736
  13.05000  -1.32954  -1.44871   3.86644
  13.10000  -1.40198  -1.24097   3.50554
  13.15000  -1.46403  -1.02191   3.18767
  13.20000  -1.51512  -0.79316   2.92469
  13.25000  -1.55478  -0.55642   2.72694
